run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,evidence_hit_rate,hallucinated_tool_rate,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,steps_taken,success,token_budget_used
20260409T171625Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,3,0,1.0,0.0,4631,0.0,0.5,0.6309297535714575,419,1.0,0,1.0,2
20260409T171628Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_language_fr,retr_003_incident_multimodal,retr_003_incident_multimodal_language_fr,retrieval,hybrid,hf,False,fr,,,,none,1.0,0,3,0,1.0,0.0,2661,0.0,0.5,0.6309297535714575,458,1.0,0,1.0,2
20260409T171631Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_context_long_history,retr_003_incident_multimodal,retr_003_incident_multimodal_context_long_history,retrieval,hybrid,hf,False,,,long_history,,none,1.0,0,9,0,1.0,0.0,3521,0.0,0.5,0.6309297535714575,455,1.0,0,1.0,2
20260409T171636Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_efficiency_top_k_3,retr_003_incident_multimodal,retr_003_incident_multimodal_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,0,3,0,1.0,0.0,4621,0.0,0.5,0.6309297535714575,419,1.0,0,1.0,2
20260409T171641Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_clean,retr_008_billing_lock,retr_008_billing_lock_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,3,0,1.0,0.0,3890,0.0,1.0,1.0,421,1.0,0,1.0,2
20260409T171646Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_language_fr,retr_008_billing_lock,retr_008_billing_lock_language_fr,retrieval,hybrid,hf,False,fr,,,,none,1.0,0,3,0,1.0,0.0,4715,0.0,1.0,1.0,448,1.0,0,1.0,2
20260409T171649Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_context_long_history,retr_008_billing_lock,retr_008_billing_lock_context_long_history,retrieval,hybrid,hf,False,,,long_history,,none,1.0,0,3,0,1.0,0.0,2877,0.0,1.0,1.0,457,1.0,0,1.0,2
20260409T171651Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_efficiency_top_k_3,retr_008_billing_lock,retr_008_billing_lock_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,0,3,0,1.0,0.0,2171,0.0,1.0,1.0,421,1.0,0,1.0,2
20260409T171653Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,11,0,1.0,0.0,1121,0.0,1.0,1.0,142,1.0,0,1.0,2
20260409T171657Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_language_fr,retr_010_rollout_mode,retr_010_rollout_mode_language_fr,retrieval,hybrid,hf,False,fr,,,,none,1.0,0,39,0,1.0,0.0,3495,0.0,1.0,1.0,174,1.0,0,1.0,2
20260409T171658Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_context_long_history,retr_010_rollout_mode,retr_010_rollout_mode_context_long_history,retrieval,hybrid,hf,False,,,long_history,,none,1.0,0,11,0,1.0,0.0,1093,0.0,1.0,1.0,178,1.0,0,1.0,2
20260409T171659Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_efficiency_top_k_3,retr_010_rollout_mode,retr_010_rollout_mode_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,0,12,0,1.0,0.0,1122,0.0,1.0,1.0,142,1.0,0,1.0,2
20260409T171701Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_clean,retr_011_approval_policy,retr_011_approval_policy_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,10,0,1.0,0.0,1254,0.0,1.0,1.0,165,1.0,0,1.0,3
20260409T171702Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_language_fr,retr_011_approval_policy,retr_011_approval_policy_language_fr,retrieval,hybrid,hf,False,fr,,,,"failed, answer_mismatch",0.0,0,18,0,1.0,0.0,1585,0.0,1.0,1.0,192,1.0,0,0.0,3
20260409T171703Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_context_long_history,retr_011_approval_policy,retr_011_approval_policy_context_long_history,retrieval,hybrid,hf,False,,,long_history,,none,1.0,0,10,0,1.0,0.0,922,0.0,1.0,1.0,201,1.0,0,1.0,3
20260409T171704Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_efficiency_top_k_3,retr_011_approval_policy,retr_011_approval_policy_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,0,10,0,1.0,0.0,800,0.0,1.0,1.0,165,1.0,0,1.0,3
20260409T171708Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_clean,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,3,0,1.0,0.0,3469,0.0,1.0,1.0,431,1.0,0,1.0,2
20260409T171711Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_language_fr,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_language_fr,retrieval,hybrid,hf,False,fr,,,,none,1.0,0,3,0,1.0,0.0,2560,0.0,1.0,1.0,458,1.0,0,1.0,2
20260409T171715Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_context_long_history,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_context_long_history,retrieval,hybrid,hf,False,,,long_history,,"failed, answer_mismatch, image_grounding_miss",0.0,0,14,0,1.0,0.0,3574,0.0,1.0,1.0,467,1.0,0,0.0,2
20260409T171718Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,0,3,0,1.0,0.0,2760,0.0,1.0,1.0,431,1.0,0,1.0,2
