run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,arg_exact,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,escalation_readiness,faster_than_human,hallucinated_tool_rate,human_time_ratio,interface_reliability_score,intervention_free_success,latency_ms,malformed_call_rate,prompt_tokens,real_world_readiness_score,recovery_correct,recovery_resilience,state_integrity_score,steps_taken,success,tool_exact
20260409T185826Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,modular,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,0,1.0,92,1,1.0,1.0,0.0,0.0217,0.9999999999999999,1.0,13028,0.0,630,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T185833Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_language_code_switch,tool_009_parallel_context_check,tool_009_parallel_context_check_language_code_switch,tool_routing,modular,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,code_switch,,,,none,1.0,0,1.0,89,1,1.0,1.0,0.0,0.0108,0.9999999999999999,1.0,6481,0.0,638,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T185840Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_schema_renamed_fields,tool_009_parallel_context_check,tool_009_parallel_context_check_schema_renamed_fields,tool_routing,modular,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,renamed_fields,,,none,1.0,0,1.0,87,3,1.0,1.0,0.0,0.0121,0.9999999999999999,1.0,7238,0.0,654,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T185844Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_context_irrelevant_tool_output,tool_009_parallel_context_check,tool_009_parallel_context_check_context_irrelevant_tool_output,tool_routing,modular,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,irrelevant_tool_output,,none,1.0,0,1.0,66,1,1.0,1.0,0.0,0.0074,0.9999999999999999,1.0,4439,0.0,672,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T185853Z_modular_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,modular,hf,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,,,none,1.0,0,1.0,106,1,1.0,1.0,0.0,0.0236,0.9999999999999999,1.0,8506,0.0,626,1.0,1.0,1.0,1.0,1,1.0,1.0
20260409T185901Z_modular_tool_010_validator_ready_tool_010_validator_ready_language_code_switch,tool_010_validator_ready,tool_010_validator_ready_language_code_switch,tool_routing,modular,hf,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,code_switch,,,,none,1.0,0,1.0,99,1,1.0,1.0,0.0,0.0231,0.9999999999999999,1.0,8298,0.0,634,1.0,1.0,1.0,1.0,1,1.0,1.0
20260409T185910Z_modular_tool_010_validator_ready_tool_010_validator_ready_schema_renamed_fields,tool_010_validator_ready,tool_010_validator_ready_schema_renamed_fields,tool_routing,modular,hf,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,renamed_fields,,,none,1.0,0,1.0,112,2,1.0,1.0,0.0,0.0242,0.9999999999999999,1.0,8714,0.0,641,1.0,1.0,1.0,1.0,1,1.0,1.0
20260409T185919Z_modular_tool_010_validator_ready_tool_010_validator_ready_context_irrelevant_tool_output,tool_010_validator_ready,tool_010_validator_ready_context_irrelevant_tool_output,tool_routing,modular,hf,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,irrelevant_tool_output,,none,1.0,0,1.0,108,1,1.0,1.0,0.0,0.0254,0.9999999999999999,1.0,9130,0.0,668,1.0,1.0,1.0,1.0,1,1.0,1.0
20260409T185925Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_clean,tool_012_billing_patch_record,tool_012_billing_patch_record_clean,tool_routing,modular,hf,False,"real_world,job_like,billing_ops",bounded_autonomy,high,,,,,"failed, wrong_tool, arg_mismatch",0.0,0,1.0,80,1,1.0,1.0,0.0,0.0131,0.25,0.0,6291,0.0,475,0.55,1.0,1.0,1.0,1,0.0,0.0
20260409T185930Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_language_code_switch,tool_012_billing_patch_record,tool_012_billing_patch_record_language_code_switch,tool_routing,modular,hf,False,"real_world,job_like,billing_ops",bounded_autonomy,high,code_switch,,,,"failed, wrong_tool, arg_mismatch",0.0,0,1.0,80,1,1.0,1.0,0.0,0.0109,0.25,0.0,5251,0.0,483,0.55,1.0,1.0,1.0,1,0.0,0.0
20260409T185936Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_schema_renamed_fields,tool_012_billing_patch_record,tool_012_billing_patch_record_schema_renamed_fields,tool_routing,modular,hf,False,"real_world,job_like,billing_ops",bounded_autonomy,high,,renamed_fields,,,"failed, wrong_tool, arg_mismatch",0.0,0,1.0,80,2,1.0,1.0,0.0,0.0115,0.25,0.0,5539,0.0,490,0.55,1.0,1.0,1.0,1,0.0,0.0
20260409T185940Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_context_irrelevant_tool_output,tool_012_billing_patch_record,tool_012_billing_patch_record_context_irrelevant_tool_output,tool_routing,modular,hf,False,"real_world,job_like,billing_ops",bounded_autonomy,high,,,irrelevant_tool_output,,"failed, wrong_tool, arg_mismatch",0.0,0,1.0,59,1,1.0,1.0,0.0,0.0077,0.25,0.0,3704,0.0,517,0.55,1.0,1.0,1.0,1,0.0,0.0
