display_name,short_label,system_id,lane,run_intent,run_scope,provider,capability_family,executor_mode,modality,deployment,local,backend,reasoner,router,retriever,reasoner_display_name,router_display_name,retriever_display_name,reasoner_params_b,router_params_b,retriever_params_b,total_params_b,input_cost_per_mtok,output_cost_per_mtok,total_cost_per_mtok,warmup_load_ms,last_request_elapsed_ms,requests_completed,episode_count,pass_count,refine_count,fail_count,artifact_quality_avg,browser_workflow_avg,strict_interface_avg,recovered_execution_avg,real_world_readiness_avg,escalation_correctness_avg,created_at,run_group_id,output_dir,role_breakdown_json,category_breakdown_json,track_breakdown_json,color,reasoner_backend,router_backend,retriever_backend
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,canonical,,synthetic,,,,,False,,,,,,,,27.0,0.27,0.3,27.57,,,,,,,18,18,0,0,0.9821944444444445,1.0,1.0,1.0,0.9629555555555557,1.0,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),Gemma 4 + specialists in-proc,hf_gemma4_e2b_specialists_cpu,live_web_stress,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.57,0.0,0.0,0.0,,,,18,18,0,0,1.0,1.0,1.0,1.0,0.9704444444444444,1.0,,,,,,,,,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,,synthetic,,,,,False,,,,,,,,27.0,0.27,0.3,27.57,,,,,,,12,12,0,0,1.0,1.0,1.0,1.0,0.9691333333333333,1.0,,,,,,,,,,
Gemma 4 E2B (HF local),Gemma 4 local,hf_service_gemma4_reasoner_only,live_web_stress,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.0,0.0,0.0,0.0,37909.0,3934.0,515.0,18,18,0,0,0.9821944444444445,1.0,1.0,1.0,0.9629555555555557,1.0,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,live_web_stress,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.57,0.0,0.0,0.0,37909.0,3277.0,437.0,18,18,0,0,0.9821944444444445,1.0,1.0,1.0,0.9629555555555557,1.0,,,,,,,,,,
Gemma 4 E2B (HF in-process),Gemma 4 in-proc,hf_gemma4_e2b_reasoner_only,live_web_stress,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.0,0.0,0.0,0.0,,,,18,15,0,3,0.9779166666666667,1.0,0.9305555555555556,0.9166666666666666,0.9379055555555555,1.0,,,,,,,,,,
Oracle KWA visual episodes,Oracle KWA visual,kwa_visual_oracle,live_web_stress,exploratory,,synthetic,,,,,False,,,,,,,,27.0,0.27,0.3,27.57,,,,,,,3,3,0,0,0.8931666666666667,1.0,1.0,1.0,0.9165333333333333,1.0,,,,,,,,,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,,synthetic,,,,,False,,,,,,,,27.0,0.27,0.3,27.57,,,,,,,24,24,0,0,0.9866458333333333,0.991025,1.0,1.0,0.9509541666666667,1.0,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),Gemma 4 + specialists in-proc,hf_gemma4_e2b_specialists_cpu,replayable_core,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.57,0.0,0.0,0.0,,,,24,24,0,0,0.9976833333333334,0.991025,1.0,1.0,0.9589916666666666,1.0,,,,,,,,,,
Gemma 4 E2B (HF local),Gemma 4 local,hf_service_gemma4_reasoner_only,replayable_core,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.0,0.0,0.0,0.0,37909.0,3081.0,467.0,24,24,0,0,0.9866458333333333,0.991025,1.0,1.0,0.9509541666666667,1.0,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.57,0.0,0.0,0.0,37909.0,3745.0,389.0,24,24,0,0,0.9866458333333333,0.991025,1.0,1.0,0.9509541666666667,1.0,,,,,,,,,,
Gemma 4 E2B (HF in-process),Gemma 4 in-proc,hf_gemma4_e2b_reasoner_only,replayable_core,exploratory,,huggingface,,,,,True,,,,,,,,27.0,0.27,0.3,27.0,0.0,0.0,0.0,,,,24,21,0,3,0.9834375,0.991025,0.953125,0.9375,0.9330333333333334,1.0,,,,,,,,,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,,synthetic,,,,,False,,,,,,,,27.0,0.27,0.3,27.57,,,,,,,18,18,0,0,1.0,0.9942222222222222,1.0,1.0,0.932711111111111,1.0,,,,,,,,,,
Oracle KWA visual episodes,Oracle KWA visual,kwa_visual_oracle,replayable_core,exploratory,,synthetic,,,,,False,,,,,,,,27.0,0.27,0.3,27.57,,,,,,,3,3,0,0,0.8931666666666667,0.9781666666666666,1.0,1.0,0.9140999999999999,1.0,,,,,,,,,,
