avg_latency_ms,avg_real_world_readiness,avg_recovered_execution_rate,avg_strict_interface_rate,avg_success_rate,blocked_experiments,completed_experiments,created_at,experiments_logged,failed_experiments,failure_breakdown,matrix_name,run_group_id
5831.72,0.5971,0.5938,0.5625,0.5312,0,4,2026-04-09T19:17:00.793869+00:00,4,0,"{""answer_mismatch"": 17, ""arg_mismatch"": 15, ""failed"": 21, ""malformed_call"": 4, ""wrong_tool"": 15}",alpha_real_world,20260409T210500Z
2041.88,0.4406,0.4375,0.5,0.4375,0,2,2026-04-09T19:04:57.921238+00:00,2,0,"{""answer_mismatch"": 6, ""failed"": 6}",alpha_real_world,20260409T203500Z
4824.34,0.0,0.0,0.0,0.7917,0,2,2026-04-09T18:59:40.690464+00:00,2,0,"{""answer_mismatch"": 1, ""arg_mismatch"": 4, ""failed"": 5, ""wrong_tool"": 4}",alpha_real_world,20260409T200500Z
7033.35,0.0,0.0,0.0,0.8625,0,3,2026-04-09T17:25:16.417931+00:00,3,0,"{""answer_mismatch"": 3, ""arg_mismatch"": 6, ""failed"": 7, ""image_grounding_miss"": 1, ""wrong_tool"": 6}",alpha_specialist_drift,20260409T190500Z
7987.68,0.0,0.0,0.0,0.9167,0,9,2026-04-09T17:15:11.437526+00:00,9,0,"{""answer_mismatch"": 4, ""answer_missing"": 2, ""arg_mismatch"": 3, ""failed"": 9, ""generation_truncated"": 2, ""image_grounding_miss"": 4, ""thinking_overflow"": 2, ""wrong_tool"": 2}",alpha_integrated_specialists,20260409T180500Z
7841.25,0.0,0.0,0.0,1.0,0,1,2026-04-09T16:47:07.461376+00:00,1,0,{},alpha_specialist_probe,20260409T172000Z
8180.5,0.0,0.0,0.0,1.0,0,1,2026-04-09T16:43:12.760907+00:00,1,0,"{""malformed_call"": 2}",alpha_specialist_probe,20260409T170500Z
6403.68,0.0,0.0,0.0,0.875,0,2,2026-04-09T16:37:12.302274+00:00,2,0,"{""arg_mismatch"": 2, ""failed"": 2, ""malformed_call"": 2}",alpha_specialist_probe,20260409T163000Z
0.0,0.0,0.0,0.0,0.0,1,0,2026-04-09T16:20:11.618427+00:00,1,0,{},alpha_specialist_probe,20260409T162500Z
0.0,0.0,0.0,0.0,0.0,0,0,2026-04-09T16:17:01.328678+00:00,1,1,{},alpha_specialist_probe,20260409T161500Z
0.0,0.0,0.0,0.0,0.0,0,0,2026-04-09T16:10:31.314608+00:00,2,2,{},alpha_specialist_probe,20260409T160700Z
2927.8,0.0,0.0,0.0,0.9792,0,4,2026-04-09T13:43:22.899039+00:00,4,0,"{""answer_mismatch"": 1, ""failed"": 1, ""image_grounding_miss"": 1, ""malformed_call"": 1}",alpha_drift_probe,20260409T134126Z
3902.12,0.0,0.0,0.0,1.0,0,1,2026-04-09T13:39:47.067323+00:00,1,0,"{""malformed_call"": 1}",alpha_drift_probe,20260409T133914Z
2813.56,0.0,0.0,0.0,0.9167,0,4,2026-04-09T13:32:18.648808+00:00,4,0,"{""answer_mismatch"": 1, ""arg_mismatch"": 2, ""failed"": 3, ""image_grounding_miss"": 1}",alpha_drift_probe,20260409T133025Z
10545.25,0.0,0.0,0.0,1.0,0,1,2026-04-09T15:59:58.359692+00:00,1,0,{},alpha_specialist_probe,20260409T120000Z
3101.83,0.0,0.0,0.0,1.0,0,3,2026-04-09T09:20:50.097324+00:00,3,0,{},alpha_mlx_default,20260409T091910Z
2260.4,0.0,0.0,0.0,1.0,0,1,2026-04-09T09:18:51.743719+00:00,1,0,{},alpha_mlx_default,20260409T091827Z
8430.85,0.0,0.0,0.0,0.9667,0,6,2026-04-09T09:14:51.508267+00:00,6,0,"{""answer_mismatch"": 2, ""failed"": 2, ""image_grounding_miss"": 2}",alpha_mlx_default,20260409T090608Z
11384.5,0.0,0.0,0.0,0.8667,0,3,2026-04-09T09:00:20.409813+00:00,3,0,{},alpha_mlx_default,20260409T085427Z
11535.62,0.0,0.0,0.0,0.7833,0,6,2026-04-09T08:17:43.359569+00:00,6,0,{},alpha_mlx_default,20260409T074743Z
3749.32,0.0,0.0,0.0,0.85,0,4,2026-04-09T07:45:27.463831+00:00,4,0,{},alpha_mlx_default,20260409T074247Z
6628.94,0.0,0.0,0.0,0.72,0,5,2026-04-09T07:39:38.251737+00:00,5,0,{},alpha_mlx_default,20260409T073353Z
3322.3,0.0,0.0,0.0,1.0,0,1,2026-04-09T07:33:27.844439+00:00,1,0,{},alpha_mlx_default,20260409T073252Z
3366.5,0.0,0.0,0.0,0.8,0,1,2026-04-09T07:31:45.655422+00:00,1,0,{},alpha_mlx_default,20260409T073109Z
5306.25,0.0,0.0,0.0,0.9,0,2,2026-04-09T07:28:34.644604+00:00,2,0,{},alpha_mlx_default,20260409T072642Z
4181.85,0.0,0.0,0.0,0.5,0,2,2026-04-09T07:24:52.557737+00:00,2,0,{},alpha_mlx_default,20260409T072323Z
3426.5,0.0,0.0,0.0,0.6,0,1,2026-04-09T07:22:50.086331+00:00,2,1,{},alpha_mlx_default,20260409T072136Z
7883.47,0.0,0.0,0.0,0.3333,0,6,2026-04-09T07:09:53.764039+00:00,6,0,{},alpha_mlx_default,20260409T070145Z
15166.1,0.0,0.0,0.0,0.3,0,1,2026-04-09T07:01:33.206535+00:00,1,0,{},alpha_mlx_default,20260409T065858Z
2006.67,0.0,0.0,0.0,0.35,0,4,2026-04-09T06:56:02.167431+00:00,5,1,{},alpha_mlx_default,20260409T065403Z
0.0,0.0,0.0,0.0,0.0,0,0,2026-04-09T06:53:16.362695+00:00,1,1,{},alpha_mlx_default,20260409T065257Z
