run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,count_accuracy,escalation_readiness,faster_than_human,final_answer_accuracy,hallucinated_tool_rate,human_time_ratio,interface_reliability_score,intervention_free_success,latency_ms,malformed_call_rate,prompt_tokens,real_world_readiness_score,recovery_correct,recovery_resilience,referent_retention,refinement_success,selection_accuracy,stale_selection_recovery,state_integrity_score,steps_taken,success,tool_exact,tool_sequence_exactness,unnecessary_tool_rate
20260410T205144Z_modular_visual_001_dashboard_below_target_visual_001_dashboard_below_target_clean,visual_001_dashboard_below_target,visual_001_dashboard_below_target_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_ui_ops,replayable_core,real_world",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_002_form_validation_errors_visual_002_form_validation_errors_clean,visual_002_form_validation_errors,visual_002_form_validation_errors_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_ui_ops,replayable_core,real_world",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_003_invoice_totals_table_visual_003_invoice_totals_table_clean,visual_003_invoice_totals_table,visual_003_invoice_totals_table_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_document,replayable_core,real_world",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_004_slide_risk_callout_visual_004_slide_risk_callout_clean,visual_004_slide_risk_callout,visual_004_slide_risk_callout_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_document,replayable_core",,,,,,,none,1.0,1.0,0,,0,1,1.0,,,1.0,0.0,,0.9999999999999999,,0,0.0,0,,1.0,,1.0,1.0,1.0,1.0,,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_005_parking_all_vehicles_visual_005_parking_all_vehicles_clean,visual_005_parking_all_vehicles,visual_005_parking_all_vehicles_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_aerial,replayable_core",,,,,,,none,1.0,1.0,0,,0,0,1.0,,,1.0,0.0,,0.9999999999999999,,0,0.0,0,,1.0,,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_006_parking_white_vehicles_visual_006_parking_white_vehicles_clean,visual_006_parking_white_vehicles,visual_006_parking_white_vehicles_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_aerial,replayable_core",,,,,,,none,1.0,1.0,0,,0,1,1.0,,,1.0,0.0,,0.9999999999999999,,0,0.0,0,,1.0,,1.0,1.0,1.0,1.0,,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_007_empty_slots_visual_007_empty_slots_clean,visual_007_empty_slots,visual_007_empty_slots_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_aerial,replayable_core",,,,,,,none,1.0,1.0,0,,0,1,1.0,,,1.0,0.0,,0.9999999999999999,,0,0.0,0,,1.0,,1.0,1.0,1.0,1.0,,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_008_blocked_exits_visual_008_blocked_exits_clean,visual_008_blocked_exits,visual_008_blocked_exits_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_map,replayable_core",,,,,,,none,1.0,1.0,0,,0,1,1.0,,,1.0,0.0,,0.9999999999999999,,0,0.0,0,,1.0,,1.0,1.0,1.0,1.0,,2,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_013_dashboard_stale_selection_recovery_visual_013_dashboard_stale_selection_recovery_clean,visual_013_dashboard_stale_selection_recovery,visual_013_dashboard_stale_selection_recovery_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_ui_ops,replayable_core,real_world",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_014_form_phone_refinement_visual_014_form_phone_refinement_clean,visual_014_form_phone_refinement,visual_014_form_phone_refinement_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_ui_ops,replayable_core,real_world",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,0.0
20260410T205144Z_modular_visual_015_slide_policy_revision_pressure_visual_015_slide_policy_revision_pressure_clean,visual_015_slide_policy_revision_pressure,visual_015_slide_policy_revision_pressure_clean,visual_tool_orchestration,modular,oracle,False,"visual_tool_orchestration,visual_document,replayable_core,real_world",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,0.0
